<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;04.09.2018;0;1075800;1075800;1075400;1075400;6
SPFB.RTS-12.18;1;04.09.2018;0;1077000;1077000;1076100;1076100;3
SPFB.RTS-12.18;1;04.09.2018;0;1075000;1075000;1075000;1075000;1
SPFB.RTS-12.18;1;04.09.2018;0;1075700;1075700;1075700;1075700;1
SPFB.RTS-12.18;1;04.09.2018;0;1075600;1075600;1075600;1075600;1
SPFB.RTS-12.18;1;04.09.2018;0;1076100;1076100;1076100;1076100;1
SPFB.RTS-12.18;1;04.09.2018;0;1076300;1076400;1076300;1076400;5
SPFB.RTS-12.18;1;04.09.2018;0;1076700;1076700;1076700;1076700;1
SPFB.RTS-12.18;1;04.09.2018;0;1075300;1075300;1074900;1074900;100
SPFB.RTS-12.18;1;04.09.2018;0;1075300;1075300;1074900;1074900;72
SPFB.RTS-12.18;1;04.09.2018;0;1075500;1075500;1075500;1075500;1
SPFB.RTS-12.18;1;04.09.2018;0;1076400;1078000;1076400;1078000;6
SPFB.RTS-12.18;1;04.09.2018;0;1077600;1077600;1077600;1077600;1
SPFB.RTS-12.18;1;04.09.2018;0;1077100;1077100;1077100;1077100;1
SPFB.RTS-12.18;1;04.09.2018;0;1077900;1077900;1077900;1077900;1
SPFB.RTS-12.18;1;04.09.2018;0;1077500;1077500;1077500;1077500;1
SPFB.RTS-12.18;1;04.09.2018;0;1077200;1077200;1076500;1076800;6
SPFB.RTS-12.18;1;04.09.2018;0;1077500;1077500;1077200;1077200;8
SPFB.RTS-12.18;1;04.09.2018;0;1076100;1076100;1076000;1076000;2
SPFB.RTS-12.18;1;04.09.2018;0;1075800;1075800;1075800;1075800;1
SPFB.RTS-12.18;1;04.09.2018;0;1075100;1075800;1075100;1075800;51
SPFB.RTS-12.18;1;04.09.2018;0;1075900;1075900;1075900;1075900;1
SPFB.RTS-12.18;1;04.09.2018;0;1075500;1075500;1075100;1075100;2
SPFB.RTS-12.18;1;04.09.2018;0;1075500;1075500;1075500;1075500;4
SPFB.RTS-12.18;1;04.09.2018;0;1074500;1074500;1074300;1074300;3
SPFB.RTS-12.18;1;04.09.2018;0;1075300;1075300;1075300;1075300;3
SPFB.RTS-12.18;1;04.09.2018;0;1075900;1076000;1075900;1076000;2
SPFB.RTS-12.18;1;04.09.2018;0;1076900;1076900;1076900;1076900;1
