<TICKER>;<PER>;<DATE>;ОТКРЫТИЕ;МАКСИМУМ;МИНИМУМ;ЗАКРЫТИЕ;<VOL>;<TIME>
SPFB.RTS-12.18;1;04.09.2018;107580;107580;107540;107540;6;10:01:00
SPFB.RTS-12.18;1;04.09.2018;107700;107700;107610;107610;3;10:08:00
SPFB.RTS-12.18;1;04.09.2018;107500;107500;107500;107500;1;10:11:00
SPFB.RTS-12.18;1;04.09.2018;107570;107570;107570;107570;1;10:15:00
SPFB.RTS-12.18;1;04.09.2018;107560;107560;107560;107560;1;10:17:00
SPFB.RTS-12.18;1;04.09.2018;107610;107610;107610;107610;1;10:18:00
SPFB.RTS-12.18;1;04.09.2018;107630;107640;107630;107640;5;10:20:00
SPFB.RTS-12.18;1;04.09.2018;107670;107670;107670;107670;1;10:21:00
SPFB.RTS-12.18;1;04.09.2018;107530;107530;107490;107490;100;10:25:00
SPFB.RTS-12.18;1;04.09.2018;107530;107530;107490;107490;72;10:26:00
SPFB.RTS-12.18;1;04.09.2018;107550;107550;107550;107550;1;10:30:00
SPFB.RTS-12.18;1;04.09.2018;107640;107800;107640;107800;6;10:34:00
SPFB.RTS-12.18;1;04.09.2018;107760;107760;107760;107760;1;10:35:00
SPFB.RTS-12.18;1;04.09.2018;107710;107710;107710;107710;1;10:36:00
SPFB.RTS-12.18;1;04.09.2018;107790;107790;107790;107790;1;10:40:00
SPFB.RTS-12.18;1;04.09.2018;107750;107750;107750;107750;1;10:42:00
SPFB.RTS-12.18;1;04.09.2018;107720;107720;107650;107680;6;10:47:00
SPFB.RTS-12.18;1;04.09.2018;107750;107750;107720;107720;8;10:52:00
SPFB.RTS-12.18;1;04.09.2018;107610;107610;107600;107600;2;10:53:00
SPFB.RTS-12.18;1;04.09.2018;107580;107580;107580;107580;1;10:54:00
SPFB.RTS-12.18;1;04.09.2018;107510;107580;107510;107580;51;10:55:00
SPFB.RTS-12.18;1;04.09.2018;107590;107590;107590;107590;1;10:57:00
SPFB.RTS-12.18;1;04.09.2018;107550;107550;107510;107510;2;10:58:00
SPFB.RTS-12.18;1;04.09.2018;107550;107550;107550;107550;4;10:59:00
SPFB.RTS-12.18;1;04.09.2018;107450;107450;107430;107430;3;11:03:00
SPFB.RTS-12.18;1;04.09.2018;107530;107530;107530;107530;3;11:08:00
SPFB.RTS-12.18;1;04.09.2018;107590;107600;107590;107600;2;11:09:00
SPFB.RTS-12.18;1;04.09.2018;107690;107690;107690;107690;1;11:11:00
SPFB.RTS-12.18;1;04.09.2018;107610;107610;107610;107610;1;11:19:00
SPFB.RTS-12.18;1;04.09.2018;107640;107640;107640;107640;2;11:21:00
SPFB.RTS-12.18;1;04.09.2018;107690;107690;107690;107690;1;11:22:00
SPFB.RTS-12.18;1;04.09.2018;107610;107610;107610;107610;1;11:24:00
SPFB.RTS-12.18;1;04.09.2018;107630;107630;107630;107630;1;11:26:00
SPFB.RTS-12.18;1;04.09.2018;107570;107570;107570;107570;2;11:36:00
SPFB.RTS-12.18;1;04.09.2018;107510;107510;107510;107510;1;11:47:00
SPFB.RTS-12.18;1;04.09.2018;107460;107460;107440;107460;7;11:53:00
SPFB.RTS-12.18;1;04.09.2018;107460;107470;107460;107460;5;11:55:00
SPFB.RTS-12.18;1;04.09.2018;107340;107390;107300;107300;8;11:56:00
SPFB.RTS-12.18;1;04.09.2018;107400;107410;107400;107410;8;11:57:00
SPFB.RTS-12.18;1;04.09.2018;107360;107400;107210;107270;9;12:00:00
SPFB.RTS-12.18;1;04.09.2018;107240;107240;106970;106970;87;12:01:00
SPFB.RTS-12.18;1;04.09.2018;106910;106910;106830;106910;27;12:02:00
SPFB.RTS-12.18;1;04.09.2018;106830;106870;106750;106870;18;12:03:00
SPFB.RTS-12.18;1;04.09.2018;106900;107000;106850;106850;23;12:04:00
SPFB.RTS-12.18;1;04.09.2018;106810;106840;106810;106840;3;12:05:00
SPFB.RTS-12.18;1;04.09.2018;106910;106910;106910;106910;1;12:06:00
SPFB.RTS-12.18;1;04.09.2018;106790;106790;106790;106790;2;12:07:00
SPFB.RTS-12.18;1;04.09.2018;106910;106990;106910;106990;8;12:08:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106950;106950;4;12:09:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;1;12:11:00
SPFB.RTS-12.18;1;04.09.2018;106990;106990;106990;106990;1;12:12:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;1;12:17:00
SPFB.RTS-12.18;1;04.09.2018;107030;107050;107030;107050;2;12:18:00
SPFB.RTS-12.18;1;04.09.2018;106980;106980;106980;106980;1;12:20:00
SPFB.RTS-12.18;1;04.09.2018;107060;107060;107060;107060;4;12:25:00
SPFB.RTS-12.18;1;04.09.2018;107060;107060;107060;107060;1;12:29:00
SPFB.RTS-12.18;1;04.09.2018;107150;107150;107150;107150;1;12:30:00
SPFB.RTS-12.18;1;04.09.2018;107030;107030;107030;107030;1;12:32:00
SPFB.RTS-12.18;1;04.09.2018;107200;107200;107200;107200;1;12:33:00
SPFB.RTS-12.18;1;04.09.2018;107300;107350;107300;107310;5;12:36:00
SPFB.RTS-12.18;1;04.09.2018;107210;107230;107210;107230;50;12:38:00
SPFB.RTS-12.18;1;04.09.2018;107150;107150;107150;107150;1;12:42:00
SPFB.RTS-12.18;1;04.09.2018;107150;107150;107150;107150;1;12:43:00
SPFB.RTS-12.18;1;04.09.2018;107000;107020;107000;107020;6;12:56:00
SPFB.RTS-12.18;1;04.09.2018;106960;106960;106960;106960;1;12:57:00
SPFB.RTS-12.18;1;04.09.2018;106930;106930;106930;106930;5;13:02:00
SPFB.RTS-12.18;1;04.09.2018;106900;106900;106850;106850;2;13:03:00
SPFB.RTS-12.18;1;04.09.2018;107000;107080;107000;107080;7;13:06:00
SPFB.RTS-12.18;1;04.09.2018;107120;107120;107120;107120;1;13:11:00
SPFB.RTS-12.18;1;04.09.2018;106950;106950;106920;106920;4;13:28:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;6;13:32:00
SPFB.RTS-12.18;1;04.09.2018;107000;107010;107000;107010;15;13:34:00
SPFB.RTS-12.18;1;04.09.2018;107060;107060;107060;107060;1;13:38:00
SPFB.RTS-12.18;1;04.09.2018;107070;107070;107070;107070;1;13:40:00
SPFB.RTS-12.18;1;04.09.2018;107050;107050;107050;107050;1;13:41:00
SPFB.RTS-12.18;1;04.09.2018;107020;107020;106850;106850;3;13:42:00
SPFB.RTS-12.18;1;04.09.2018;106810;106860;106810;106850;3;13:44:00
SPFB.RTS-12.18;1;04.09.2018;106990;107000;106990;107000;3;13:47:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;1;13:48:00
SPFB.RTS-12.18;1;04.09.2018;107000;107000;107000;107000;1;13:49:00
SPFB.RTS-12.18;1;04.09.2018;107010;107010;107010;107010;1;13:56:00
SPFB.RTS-12.18;1;04.09.2018;106900;106930;106900;106930;12;14:00:00
SPFB.RTS-12.18;1;04.09.2018;106900;106930;106870;106930;13;14:09:00
SPFB.RTS-12.18;1;04.09.2018;106930;106930;106930;106930;10;14:10:00
SPFB.RTS-12.18;1;04.09.2018;106850;106850;106700;106700;61;14:14:00
SPFB.RTS-12.18;1;04.09.2018;106700;106850;106700;106850;6;14:15:00
SPFB.RTS-12.18;1;04.09.2018;106870;106870;106870;106870;1;14:22:00
SPFB.RTS-12.18;1;04.09.2018;106810;106810;106760;106760;9;14:24:00
SPFB.RTS-12.18;1;04.09.2018;106750;106750;106750;106750;1;14:25:00
